8,Anna,IL,Surely
9,Glendale,PA,
11,Mize,MS,Surely
12,Baxterville,MS,Possible
13,d'Iberville,MS,Possible
14,Clinton,MS,Unlikely
15,Pearl,MS,Possible
16,Southaven,MS,Possible
17,Burnsville,MS,Probable
18,Belmont,MS,Possible
19,Buchanan County,VA,Probable
20,Colonial Heights,VA,Probable
21,Inglewood,CA,Surely
22,Hawthorne,CA,Surely
23,Chester,WV,Probable
24,Follansbee,WV,Probable
25,Kenova,WV,Possible
26,McMechen,WV,Possible
27,It,MS,Possible
29,Mound Bayou,MS,Black Town or Township
30,Renova,MS,Black Town or Township
31,New Bethlehem,PA,Possible
32,Warren,PA,Possible
33,New Africa,MS,Black Town or Township
34,Winstonville,MS,Black Town or Township
35,Expose,MS,Black Town or Township
36,Corry,PA,Probable
37,Punxsutawney,PA,Don't Know
39,Millvale,PA,Possible
40,General,MS,
42,Falls Church,VA,Unlikely
43,Clintwood,VA,Probable
44,Elkton,VA,Possible
45,Fieldale,VA,Possible
46,Narrows,VA,Possible
48,Grundy,VA,Surely
49,Weber City,VA,Possible
50,Poquoson,VA,Possible
51,Richlands,VA,Probable
52,Wise,VA,Probable
53,South St. Paul,MN,Possible
56,Worthington,MN,Possible
57,Pine Island,MN,Probable
58,St. Louis Park,MN,Surely
60,Red Wing,MN,Possible
61,Cannon Falls,MN,Possible
62,New Brighton,MN,Don't Know
63,Coleraine,MN,Probable
64,Marshall,MN,Possible
65,Albert Lea,MN,Possible
66,Appleton,MN,Possible
67,Austin,MN,Surely
68,Edina,MN,Surely
69,Princeton,SC,Possible
70,Salem,SC,Possible
71,Folly Beach,SC,Possible
72,Isle of Palms,SC,Possible
74,Moncks Corner,SC,Surely
75,Shandon,SC,Possible
76,Ellenton,SC,Possible
77,Hamburg,SC,Possible
78,Maryville,SC,Black Town or Township
79,Georgetown,SC,Don't Know
80,Brooklyn,OH,Possible
81,Cuyahoga Falls,OH,Probable
83,Miamisburg,OH,Probable
84,Napoleon,OH,Probable
85,Shawnee,OH,Probable
86,Ada,OH,Possible
87,Clymer,PA,Probable
88,Camp Hill,PA,Probable
90,Avon,OH,Possible
91,Avon Lake,OH,Probable
92,Bellevue,OH,Possible
93,Blanchester,OH,Possible
94,Brookville,OH,Possible
95,Bryan,OH,Possible
96,Canfield,OH,Possible
97,Carey,OH,Possible
98,Carrollton,OH,Possible
99,Celina,OH,Probable
100,Chagrin Falls,OH,Probable
101,Chardon,OH,Possible
102,Clyde,OH,Possible
103,Coal Grove,OH,Probable
104,Coldwater,OH,Possible
105,Columbiana,OH,Probable
106,Crooksville,OH,Possible
107,Deer Park,OH,Possible
108,Delphos,OH,Possible
109,Germantown,OH,Possible
110,Gibsonburg,OH,Possible
111,Grove City,OH,Possible
112,Harrison,OH,Possible
113,Hicksville,OH,Possible
114,Hubbard,OH,Possible
115,Huron,OH,Probable
116,Independence,OH,Probable
117,Jefferson,OH,Possible
118,Johnstown,OH,Possible
119,Lakemore,OH,Possible
120,Loudonville,OH,Probable
121,Louisville,OH,Probable
122,McDonald,OH,Possible
123,Mariemont,OH,Possible
124,Millersburg,OH,Possible
125,Minerva,OH,Possible
126,Mogadore,OH,Probable
127,Montpelier,OH,Possible
128,Mount Gilead,OH,Probable
129,New Boston,OH,Probable
131,New Lexington,OH,Probable
132,Newton Falls,OH,Possible
133,Hershey,PA,Possible
134,North Baltimore,OH,Probable
135,Oak Harbor,OH,Probable
136,Johnston,PA,
