county,num_sundown_towns
"Accomack County, Va",1
"Adair County, OK",1
"Adams County, IN",3
"Adams County, WI",1
"Alameda County, CA",3
"Albany County, NY",1
"Albany County, WY",1
"Alexander County, IL",2
"Alfalfa County, OK",1
"Alger County, MI",1
"Allamakee County, IA",1
"Allegany County, MD",2
"Allegheny County, PA",1
"Allen County, IN",3
"Allen County, OH",2
"Alpena County, MI",1
"Anderson County, TN",1
"Andrew County, MO",1
"Anne Arundel County, MD",2
"Antrim County, MI",1
"Archer County, TX",2
"Aroostook County, ME",1
"Ashland County, OH",1
"Ashland County, WI",2
"Ashtabula County, OH",1
"Auglaize County, OH",2
"Baldwin County, AL",1
"Barber County, KS",1
"Barbour County, WV",1
"Barron County, WI",4
"Barry County, MO",2
"Bartholomew County, IN",1
"Barton County, KS",2
"Barton County, MO",3
"Bates County, MO",1
"Baxter County, AR",2
"Bayfield County, WI",1
"Beckham County, OK",1
"Bedford County, PA",1
"Bell County, TX",1
"Belmont County, OH",2
"Benton County, AR",7
"Benton County, IA",2
"Benton County, IN",1
"Benton County, MO",2
"Benton County, OR",1
"Benton County, WA",1
"Bergen County, NJ",8
"Berkeley County, SC",1
"Berks County, PA",1
"Black Hawk County, IA",1
"Blackford County, IN",2
"Blaine County, OK",1
"Blair County, PA",1
"Blount County, AL",1
"Blue Earth County, MN",1
"Bond County, IL",3
"Bonner County, ID",1
"Boone County, AR",2
"Boone County, IN",5
"Boone County, KY",2
"Boundary County, ID",1
"Box Elder County, UT",2
"Boyd County, KY",1
"Brazoria County, TX",2
"Brevard County, FL",1
"Brooke County, WV",1
"Broome County, NY",1
"Brown County, MN",1
"Brown County, WI",5
"Bryan County, OK",2
"Buchanan County, VA",1
"Bucks County, PA",1
"Buffalo County, WI",2
"Bullitt County, KY",1
"Bureau County, IL",4
"Burlington County, NJ",1
"Butler County, IA",1
"Butler County, KS",2
"Butler County, NE",1
"Butler County, OH",2
"Butte County, CA",2
"Butte County, SD",1
"Cabell County, WV",1
"Caddo County, OK",3
"Caldwell County, MO",1
"Calhoun County, FL",1
"Calhoun County, IL",1
"Calhoun County, MI",1
"Calumet County, WI",3
"Cambria County, PA",1
"Camden County, MO",1
"Campbell County, KY",8
"Carbon County, PA",3
"Carbon County, UT",1
"Carroll County, AR",1
"Carroll County, IA",1
"Carroll County, IN",3
"Carroll County, OH",1
"Carson County, TX",1
"Carter County, KY",1
"Carter County, OK",1
"Casey County, KY",1
"Cass County, IL",3
"Cass County, IN",2
"Cass County, ND",1
"Cass County, NE",1
"Cedar County, MO",2
"Cerro Gordo County, IA",1
"Chambers County, TX",1
"Champaign County, IL",7
"Champaign County, Il",1
"Charleston County, SC",2
"Chautauqua County, KS",1
"Chelan County, WA",1
"Chemung County, NY",1
"Cherokee County, KS",1
"Cherry County, NE",1
"Cheshire County, NH",1
"Cheyenne County, KS",1
"Cheyenne County, NE",1
"Chippewa County, WI",4
"Christian County, IL",2
"Churchill County, NV",1
"Cimarron County, OK",1
"Clackamas County, OR",2
"Clarion County, PA",1
"Clark County, AR",1
"Clark County, IL",3
"Clark County, IN",4
"Clark County, Il",1
"Clark County, KS",1
"Clark County, MO",1
"Clark County, NV",1
"Clark County, WA",1
"Clark County, WI",7
"Clatsop County, OR",1
"Clay County, AR",3
"Clay County, IL",1
"Clay County, IN",1
"Clay County, MO",5
"Clay County, TN",1
"Cleburne County, AR",2
"Clermont County, OH",2
"Cleveland County, OK",2
"Clinton County, IL",10
"Clinton County, IN",3
"Clinton County, KY",1
"Clinton County, OH",1
"Cloud County, KS",1
"Cochise County, AZ",1
"Coffey County, KS",1
"Coke County, TX",1
"Coles County, IL",1
"Colfax County, NE",1
"Colonial Heights County, VA",1
"Columbia County, AR",1
"Columbia County, WI",7
"Columbiana County, OH",1
"Comanche County, KS",1
"Comanche County, OK",1
"Comanche County, TX",2
"Contra Costa County, CA",4
"Conway County, AR",1
"Cook County, IL",22
"Cook County, Il",1
"Coos County, NH",2
"Coos County, OR",1
"Coryell County, TX",1
"Cotton County, ok",1
"Craig County, OK",1
"Craighead County, AR",1
"Craven County, NC",1
"Crawford County, AR",4
"Crawford County, IL",3
"Crawford County, IN",4
"Crawford County, KS",2
"Crawford County, MO",2
"Crawford County, OH",1
"Crawford County, WI",1
"Creek County, OK",1
"Cullman County, AL",4
"Cumberland County, IL",4
"Cumberland County, ME",1
"Cumberland County, PA",2
"Cumberland County, TN",1
"Cuming County, NE",1
"Custer County, MT",1
"Custer County, NE",1
"Cuyahoga County, OH",20
"Cuyahoga County, Oh",1
"Dakota County, MN",1
"Dakota County, NE",1
"Dallam County, TX",1
"Dallas County, IA",1
"Dallas County, MO",1
"Dallas County, TX",3
"Dane County, WI",11
"Dare County, NC",1
"Darke County, OH",2
"Dauphin County, PA",1
"Daviess County, IN",2
"Daviess County, MO",1
"Davis County, IA",1
"Dawson County, MT",1
"Dawson County, NE",2
"De Witt County, IL",2
"DeKalb County, AL",1
"DeKalb County, GA",2
"DeKalb County, IL",2
"DeKalb County, IN",2
"DeSoto County, MS",1
"Deaf Smith County, TX",1
"Dearborn County, IN",3
"Decatur County, IN",1
"Decatur County, KS",1
"Defiance County, OH",1
"Del Norte County, CA",1
"Delaware County, IA",1
"Delaware County, IN",4
"Delaware County, OK",1
"Delaware County, PA",1
"Delta County, CO",2
"Dent County, MO",1
"Denton County, Tx",1
"Dickenson County, VA",1
"Dickinson County, IA",2
"Dickinson County, KS",4
"Dodge County, NE",1
"Dodge County, WI",4
"Doniphan County, KS",1
"Door County, WI",1
"Douglas County, IL",5
"Douglas County, MO",1
"Douglas County, OR",1
"Douglas County, SD",1
"Douglas County, il",1
"DuPage County, IL",26
"Dubois County, IN",3
"Dunklin County, MO",2
"Dunn County, WI",1
"Duval County, TX",2
"Eaton County, MI",1
"Eau Claire County, WI",4
"Edwards County, IL",3
"Effingham County, IL",4
"El Dorado County, CA",1
"El Paso County, CO",1
"Elk County, KS",1
"Elkhart County, IN",4
"Ellis County, KS",2
"Ellsworth County, KS",1
"Emmet County, MI",1
"Erie County, NY",2
"Erie County, OH",2
"Erie County, PA",1
"Esmeralda County, NV",1
"Essex County, MA",2
"Estill County, KY",1
"Etowah County, AL",1
"Fairfield County, CT",1
"Fannin County, GA",1
"Fayette County, IL",4
"Fayette County, WV",1
"Fentress County, TN",1
"Flagler County, FL",1
"Floyd County, IA",1
"Floyd County, KY",2
"Fond du Lac County, WI",4
"Ford County, IL",1
"Forest County, WI",1
"Fountain County, IN",3
"Franklin County, AR",2
"Franklin County, IL",11
"Franklin County, IN",2
"Franklin County, MO",2
"Franklin County, OH",3
"Franklin County, VT",1
"Freeborn County, MN",1
"Freestone County, TX",1
"Fremont County, IA",1
"Fremont County, ID",1
"Fresno County, CA",4
"Fulton County, GA",1
"Fulton County, IL",2
"Fulton County, IN",1
"Fulton County, OH",1
"Gage County, NE",1
"Gallatin County, IL",3
"Galveston County, TX",1
"Garrett County, MD",2
"Garvin County, OK",1
"Gasconade County, MO",2
"Geauga County, OH",1
"Genesee County, MI",2
"Gentry County, MO",3
"Gibson County, IN",3
"Gila County, AZ",1
"Giles County, VA",1
"Gogebic County, MI",2
"Goodhue County, MN",3
"Grafton County, NH",1
"Grand Traverse County, MI",1
"Grant County, AR",1
"Grant County, IN",6
"Grant County, KY",1
"Grant County, LA",1
"Grant County, OK",1
"Grant County, WI",6
"Gray County, KS",1
"Grays Harbor County, WA",1
"Grayson County, KY",1
"Grayson County, TX",2
"Greeley County, KS",1
"Green County, WI",3
"Green Lake County, WI",2
"Greene County, AR",2
"Greene County, IA",1
"Greene County, IL",2
"Greene County, IN",4
"Greene County, OH",1
"Greenlee County, AZ",1
"Greenup County, KY",3
"Greenwood County, KS",2
"Grundy County, IL",3
"Grundy County, TN",2
"Guernsey County, OH",1
"Hall County, TX",1
"Hamilton County, IL",1
"Hamilton County, IN",4
"Hamilton County, NE",1
"Hamilton County, OH",9
"Hamilton County, Oh",1
"Hamilton County, TN",3
"Hamilton County, TX",2
"Hampden County, MA",2
"Hancock County, IA",1
"Hancock County, IL",1
"Hancock County, IN",4
"Hancock County, Il",1
"Hancock County, WV",1
"Hansford County, TX",1
"Hardin County, IL",2
"Hardin County, OH",2
"Hardin County, TX",2
"Harlan County, KY",1
"Harper County, KS",2
"Harris County, TX",3
"Harrison County, IN",1
"Harrison County, MO",1
"Harrison County, MS",1
"Harvey County, KS",1
"Haskell County, KS",1
"Hemphill County, TX",1
"Henderson County, Il",1
"Hendricks County, IN",3
"Hennepin County, MN",2
"Henry County, IN",1
"Henry County, MO",1
"Henry County, OH",1
"Henry County, VA",1
"Hidalgo County, TX",4
"Highland County, OH",1
"Hillsborough County, NH",1
"Holmes County, OH",1
"Holt County, MO",1
"Hopkins County, TX",1
"Hot Spring County, AR",1
"Howard County, AR",1
"Howard County, IA",1
"Howard County, IN",2
"Howard County, TX",1
"Howell County, MO",1
"Humboldt County, CA",2
"Huntington County, IN",3
"Huron County, MI",3
"Huron County, OH",1
"Hutchinson County, TX",1
"Indiana County, PA",1
"Ingham County, MI",2
"Inyo County, CA",1
"Ionia County, MI",1
"Iowa County, WI",2
"Iron County, WI",2
"Iroquois County, IL",2
"Itasca County, MN",1
"Izard County, AR",2
"Jackson County, AR",1
"Jackson County, IA",2
"Jackson County, IL",3
"Jackson County, IN",2
"Jackson County, MO",3
"Jackson County, OR",3
