,Unnamed: 0,City,PD,State,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),All People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
 more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
 nonnegligent manslaughter",Murder Rate,Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Average Violent Crimes Reported (2013-17),Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,Estimated Average Arrests per Year,Killings by Police per 10k Arrests,county
0,0,Albuquerque,Albuquerque Police Department,NM,3.0,18.0,,,,11.0,,32,"545,852","14,878","229,933","20,627","13,674",418,14092,"1,224","10,043","255,055",28.48,30,5.5,8.4,28.8,6.8,10.1,4.21,1.48,4325.0,4934.0,5406.0,6245.0,7686.0,7646.0,6040.3,11.1,27700.0,25447.0,22126.0,20341.0,21130.0,22254.0,22259.6,14.4,"Bernalillo County, NM"
1,1,Anaheim,Anaheim Police Department,CA,3.0,7.0,,,,3.0,,13,"336,265","8,209","92,362",743,"49,210","1,437",50647,628,"6,209","177,467",27.78,14,4.2,5.5,52.2,4.6,5.6,11.25,1.21,1130.0,1101.0,1271.0,1209.0,1253.0,1192.0,1192.7,3.5,7891.0,8137.0,8381.0,9415.0,8869.0,10019.0,8964.2,14.5,"Orange County, CA"
2,2,Anchorage,Anchorage Police Department,AK,1.0,1.0,2.0,,,5.0,4.0,13,"291,826","15,308","182,814","22,047","23,208","5,776",28984,562,"20,050","22,061",34.33,12,4.1,6.4,9.3,3.9,6.5,2.39,1.66,2435.0,2605.0,3226.0,3422.0,3564.0,3824.0,3179.3,10.9,17601.0,14748.0,14387.0,13294.0,13871.0,13973.0,14054.6,9.2,"Anchorage County, AK"
3,3,Arlington,Arlington Police Department,VA,7.0,1.0,,2.0,,3.0,,13,"365,438","67,087","164,022","1,338","24,564",373,24937,597,"7,188","100,269",39.74,13,3.6,5.1,14.9,2.6,1.4,5.7,0.55,1837.0,1854.0,1946.0,2188.0,,1784.0,1921.8,5.3,17258.0,16222.0,13989.0,11024.0,8397.0,9566.0,11839.6,11.0,"Arlington County, VA"
4,4,Atlanta,Atlanta Police Department,GA,13.0,,,,,1.0,1.0,15,"420,003","224,316","152,377",754,"13,098",115,13213,739,"6,789","21,815",74.12,93,22.1,5.1,8.3,0.9,0.0,8.83,0,5517.0,5577.0,5203.0,5121.0,4504.0,3814.0,4956.0,11.8,30505.0,26958.0,,22161.0,22581.0,,23900,6.3,"Fulton County, GA"
5,5,Aurora,Aurora Police Department,IL,9.0,3.0,,1.0,,7.0,2.0,22,"325,078","49,003","153,715","1,487","15,735",919,16654,677,"10,279","93,263",28.72,11,3.4,9.7,26.2,6.5,4.6,4.03,0.71,1436.0,1448.0,1660.0,1939.0,2239.0,2716.0,1906.3,5.9,21182.0,20469.0,19155.0,17455.0,15907.0,15662.0,17729.6,12.4,"Kane County, IL"
6,6,Austin,Austin Police Department,TX,5.0,7.0,,1.0,,19.0,,32,"790,390","60,760","385,271","1,967","49,159",401,49560,"1,448","13,677","277,707",54.14,32,4.0,5.8,11.8,7.0,3.6,1.67,0.51,3123.0,3581.0,3497.0,3903.0,4032.0,3720.0,3642.7,4.6,37024.0,36524.0,33101.0,30687.0,28485.0,24359.0,30631.2,10.4,"Travis County, TX"
7,7,Bakersfield,Bakersfield Police Department,CA,3.0,15.0,,1.0,,5.0,,24,"347,483","26,677","131,311","2,265","20,496",357,20853,681,"7,491","158,205",43.39,17,4.9,9.9,16.1,5.4,13.5,2.95,2.49,1857.0,1678.0,1810.0,1821.0,1827.0,1895.0,1814.7,5.2,16786.0,20912.0,21814.0,21629.0,16822.0,13048.0,18845,12.7,"Kern County, CA"
8,8,Baltimore,Baltimore Police Department,MD,27.0,,,,,3.0,1.0,31,"620,961","392,938","174,120","1,884","14,397",192,14589,942,"10,528","25,960",68.9,211,34.0,7.1,9.8,2.5,0.0,3.99,0,8725.0,8346.0,9542.0,11010.0,12430.0,11100.0,10192.2,16.4,47560.0,46232.0,32939.0,29661.0,29044.0,25567.0,32688.6,9.5,"Baltimore County, MD"
9,9,Baton Rouge,Baton Rouge Police Department,LA,10.0,,,,,,,10,"229,493","124,542","86,679",397,"7,469",39,7508,332,"2,382","7,653",66.94,53,23.1,6.2,11.5,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,2127.0,2120.0,2001.0,2143.0,2335.0,2067.0,2132.2,9.3,,,15244.0,13322.0,12829.0,10773.0,13042,7.7,"East Baton Rouge County, LA"
